Energi (kal),Protein (g),Lemak (g),Gula (g),Serat (g),Natrium (mg),Grade
362.1,5,9,60.9,9.5,0.123239437,D
26,0,0,0,0,0,B
32,0.7,0.5,5.2,0.8,0.167410714,B
20,0.6,0.1,3.1,0.7,0,A
26,0.7,0.2,4.5,0.8,0,B
41,0.8,0.5,4.6,1,0.113636364,B
30,0.6,0.6,4.1,1,0,A
436,0,1.4,71.8,0,0,D
164,5.5,0.200000003,33.20000076,1.5,0,C
5,0.1,0.04,1.1,0.7,1.785,A
538.95,3.77,2.8,55.06,0,1.34,D
336,18,13,0.6,8,0,C
0,23.8,3.4,17.3,0,1.071428571,B
368.4210526,26.31578947,18.42105263,0,0,0,C
263,7.02,0,52.63,7,0,C
228,5.26,0,47.37,1.8,0,C
137,0.899999976,0,21.60000038,0.5,0.71,C
342,60,2.2,15,0,0.86,C
500,10,15,60,0,0.7,E
294,2.3,21,3.7,0,0.69,D
124,1.5,0.800000012,12,2.099999905,0.67,B
422,7.3,16,23.7,0,1.6,D
57.08245243,0.634249471,0,13.10782241,0.634249471,0,B
544,4,0,53,0,0,D
131.5789474,0,2.631578947,5.263157895,0,0.1,C
232.5581395,11.62790698,0,41.86046512,0,0,C
20,2,0,3,2,0.00575,A
429,9.7,16.5,42.5,0,0,E
427,9,16.5,43.2,0,1.71,E
354.8387097,6.451612903,0,77.41935484,0,1.4025,C
394,7.3,3,75,5,0,C
282,14.1,0,49.3,7.04,0.85,C
415,8.6,16,41.7,0,0.125,E
17.64705882,2.352941176,0,3.529411765,1.176470588,0,A
385,6.5,2,47,0,0,D
239,0,4.7,24.9,0,0.92,D
220.1,10,1.4,19,2.6,0,A
460,6.4,6,54,1.4,0,D
113,23.3,0.4,3.1,1.1,0,A
212,7.69,0,44.2,1.92,1.046511628,C
458,9.3,16,64.5,2.9,0,D
60,1,0,12,2,1.12,B
343,3.69,8.31,41.05,1.97,1.15,D
351,4.7,12.1,39.8,0,0,E
316,2,10.5,37.3,0,0,E
0,300,0,0,1000,0,A
497,5.49,14.65,61.54,0,1.3,E
559,6.4,21.5,54.2,0,0,E
557,6.4,0,54.2,0,0.387,D
234,2,0.08,54,0,0.87,D
164,16,2.4,5,0,0,B
48.38709677,0.806451613,0,11.29032258,0.806451613,0.71,B
509,7.1,16.03,60,2.7,0,E
480,5.8,10.4,68.2,2,1.4,E
241,10,6.8,5.5,0,0.48,C
200,2.22,6.21,27.11,0,1.43,D
462,20,0,5,0,1.39,B
101,1.3,0.7,48,0,1.55,D
110,11,0.1,24,0,0,B
394,6.7,2.1,48,0,0.28,D
235,11.76,0,44.12,8.8,0.85,B
422,10,1.4,67,7.3,0.66,C
310,6.6,1.5,49,0,0,C
495,33.7,3.6,0.5,0,0,C
394,6.7,2.1,48,0,0,D
150.4424779,0.884955752,0,38.9380531,1.769911504,0,C
186,2.3,15.8,6.1,0,0.01,D
301,6.2,1.4,46,0,0,D
383,27.8,8.2,37,7.91,1.5,C
382,8.2,2.2,25,0,0,C
40,0.2,0.2,5.8,1.2,0,B
277,21.9,0,45.7,10.1,0,C
250,9.62,0,53.8,3.85,1.75,C
445,7.099999905,7.400000095,53.09999847,5.099999905,0.1,D
467,6.3,6.1,53,2.5,4,D
322,6.6,12.7,25,0,0.22,D
143,8.1,7.4,3.9,0,1.8,C
250,9.399999619,0.300000012,45,3.200000048,0.7,C
0,85.5,0,2.5,0,0.6731,A
307,3.3,1.6,68.2,0,0.09,D
1,0,0,0.3,0,0.72,B
470,5,16.4,46.3,0,5.8,E
289,7.6,1.2,44.8,0,0.7,C
198,30,2.64,0,0,0,A
454.5454545,9.090909091,13.63636364,0,0,0,C
424,0.1,10,33,0,0.68,E
241,7.1,1.2,35,3.2,0.241,C
374,0.6,0,92.8,0,0.86,D
374,0.6,0,92.8,0,0.11,D
263,32,4.5,0,0,6.096,B
139,17,3.3,1.5,1,1.2,A
357,25,17.86,3.57,0,0,C
0,0,0,0,0,0.45,B
458,6.3,6,53,0,0.19,D
446,10,7.7,60.8,4.6,0.19,D
130.1115242,5.94795539,2.230483271,14.86988848,1.486988848,0,B
414,8.6,15.8,45,0,0,E
235,8.82,0,50,2.9,0.1,C
256,7.69,0,53.85,2.6,0,C
238,1.8,0.1,54,7.2,0.6,C
237,4.6,4.2,32,0,1.3,D
131.25,3.75,0,30,0,0.187,C
89.28571429,16.07142857,0.892857143,0,0,3.409090909,A
406,0,2.4,50,0,0.1,D
18,0.4,6,25,0,2,D
214.2857143,7.142857143,1.785714286,14.28571429,3.571428571,0.25,A
505,12.98,3.91,3.97,0,0.1,C
0,85.5,0,2.5,0,4.7,A
58,0,0,0,0,0.75,B
0.5,10,0.1,7.6,1.5,1.54178,A
432,7.3,7,77,1.5,0,D
374,19,0,13,0,0.45,B
229,2.7,2.1,31,0,3,C
828,0,12,0,0,0,E
347,36.5,8.73,0.5,0,1.2,C
173,0.5,0.1,42,0,1.25,D
100,2,0,19,2,0.8025,B
322,4.1,9.5,42,0,0.02,E
227.8481013,12.65822785,3.797468354,16.4556962,0,0.36,C
193,1,1,0.699999988,0,3.140625,C
188,7.7,7.4,10.5,0.9,0,C
128,5.7,1.6,18.7,1.8,0,B
290,3.9,11,34,0,3.6,D
179.4871795,5.769230769,1.282051282,25.64102564,3.205128205,0,B
72.99270073,2.919708029,0,9.732360097,1.703163017,0.06,A
538,5,2.8,9.4,0,0,C
265,9.2,0.3,53,2.5,0,C
449,2.6,0,58,0,0,D
485,8.75,9.75,58.75,4.2,0.21,D
380,26,2,0,0,0,B
271,2.799999952,17.20000076,3.700000048,0,0.34,D
142,3.9,1.6,23.5,1.4,0,C
275,2.5,0,65,7.5,1.66,C
489,7.9,7.9,63.6,3.1,2.6,D
347,16,14,1,0,0.1,C
363,78.9,0.7,7.5,0,0,B
0,5.8,2.5,56,1.8,1.3,C
69,3.9,1.9,7,1.1,0,A
442,12.30000019,2,68.5,10.30000019,13.5,C
189,3.6,4.6,27,0,1,C
108,22,0,1.6,0,1.2,A
475,5,20,50,5,0.1,D
18,0.9,0.1,2.2,0,0,B
298,0,10,1.100000024,0,0,D
234,17,5.4,0.9,0,1.1,B
398,10.13,1.5,66.6,2,0,C
254,16.4,6.4,7.8,14,0,B
247,11,3.799999952,37,0,0.03,C
143,0,0,32.14,0,0,C
250,0,0,43.75,0,0,D
0,4.9,2,60,1.5,0.9,C
480,3.3,9.1,73,0,0,E
119.7183099,19.71830986,1.056338028,0,0,0.83,A
316,44.4,6.5,0.54,0,0,C
114.6666667,1.333333333,1.333333333,24,0,0.2,C
266,14,6.2,2.7,0,0,C
315,2.200000048,0,72,7.099999905,0.11,C
361,22.6,17.6,0.5,0,0,C
270,4,5.8,38,0,0.31,D
366,12.1,1.1,58.4,0,1.3,C
17,2.400000095,0.100000001,0.300000012,2.5,0.125,A
311,11,1,49,3.700000048,5,C
35,0.400000006,0,7.599999905,0.800000012,0,B
35.94080338,0.845665962,0,9.090909091,0,2.2,B
466.6666667,3.333333333,8.333333333,3.333333333,0,2.66,D
466.6666667,3.333333333,8.333333333,3.333333333,0,0.85,D
400,40,10,0,0,0,C
60,2,2.5,8,3,1.6075,A
616,27,7.5,13,1,2.97,C
220,7,1.5,28,3,0.6,B
220,8,6,25,1,0,C
61,5.1,0.1,506,5.4,0.237676056,B
900,28,0,97,9,2.71,C
54,0.600000024,0,11.60000038,1,0,B
294.1176471,8.235294118,1.764705882,55.29411765,3.529411765,2.6,C
0.806451613,4.032258065,3.225806452,44.35483871,1.612903226,0,C
14,0.5,0.100000001,0.5,0,1.65,B
1583.333333,58.33333333,0,266.6666667,0,0.11,D
260,26,0,0,0,0,A
271.91,27.7,10.3,0.3,0,0,C
89,4.3,0.1,15.3,2.9,0,A
297,3.7,10.7,34.5,0,0,D
529,33,30,0,0,0,D
603.3333333,30,6.333333254,5.999999841,0,3.5,C
151,4.2,1.78,11,0,3.5,B
151,4.2,1.7,11,2.9,0,A
467,6.7,17,51,1.1,0,E
200,0,0,80,0,0,D
200,0,0,80,0,0,D
200,0,0,80,0,0,D
150,6,1.5,11,2,0.05,A
114,6.9,0.5,16,1.7,0,A
38,1.799999952,0.100000001,6.300000191,1.899999976,0,A
566.6666667,16.66666667,8.333333333,30,3.333333333,0,D
290.3225806,6.451612903,0,54.83870968,3.225806452,0.685483871,C
140,3,0.5,15,3,0,A
273,21.39999962,0,15,0,0,B
201.6806723,13.44537815,6.722689076,5.042016807,0,0,C
467,10.89999962,2.25,58.5,7.599999905,1.68,C
333.3333333,6,5.333333333,47.33333333,3.333333333,0.05,D
468,5.9,11,45,0,0,E
593.75,25,7.8125,21.875,9.375,0,C
263,4.1,10,32,0.6,0,D
417,76.3,5,8.67,0.333,1.1,C
417,75,5,10,0.4,1.1,C
220,5,3.5,14,3,1.13,B
15,2,0,3,2,0,A
300,10,0.800000012,49,4.400000095,1.5,C
192.4,0.6,0,46,0.9,1.5,D
146,3.099999905,0.5,19.39999962,1.899999976,0,B
114,17,2.700000048,34,2,0.4,C
150,4,0,9,3,0,A
52,0,0,13,0,0,B
134,11.80000019,1,4.300000191,0,0.60483871,A
484,7.599999905,13.60000038,56.79999924,6.800000191,0,D
334.7999878,2.200000048,4.5,5,0.300000012,0,C
133.8028169,22.53521127,0.704225352,0,0,0,A
100,21,0,0,0,0,A
248,7.3,1.4,30.5,2,0,C
90,7,1,2,0,0,A
528,8,18.4,60,2,0,E
512,8,15.6,56,1.6,0.28,E
532,7.2,16.8,57.2,2.4,0.37,E
105,1.600000024,1.399999976,13,0.699999988,0.351,C
341,6.6,3.8,59,0,0,D
344.8275862,3.448275862,0,82.75862069,3.448275862,0,C
441,26.89999962,14.39999962,1.600000024,0,0,C
56.47058824,3.294117647,0.352941176,7.058823529,1.647058824,0,A
245,7.7,0.2,51,0,0,C
152,1.9,5.9,22,0,0,C
461,9.6,1.8,55.2,4.2,0,C
371,7.14,12.5,67.86,3.6,0,D
407,7.14,12.5,67.86,3.6,0,D
132,2,3.5,17,0,0,C
132,2,3.5,17,0,0,C
388,2.94,10.29,50,1.5,0.193661972,E
388,2.94,10.29,50,1.5,0.213,E
367,9.9,0.5,69,10,0,C
203,15,6.6,1,0,0.65,C
140,9,0.5,21,2,0.4,A
16,0,0,0,0,0.13208,B
108,20.89999962,0.899999976,1.299999952,0.5,0.14224,A
400,13.33333333,13.33333333,40,6.666666667,0,D
93,11,0,11.39999962,8.600000381,0,A
0,0,0,0,0,0,B
110,4,0,18,2,3,B
194,25,2.200000048,3.400000095,2.200000048,0,A
596,9,16.89999962,45.59999847,0,1.5,E
377,0,0,0,0,0,C
357,8,0,76,0,0.25,C
285,8.9,0.4,51,5.6,0.535,C
49,0.5,0,12,0.5,0.535,B
211,2.82,7.04,22.54,0,0.125,D
225,4.23,7.04,26.76,0,0.125,D
239,4.23,7.04,22.54,1.4,0.3675,C
225,15,3.26,17.2,0,0.3675,C
338,11,0,69,0,1.3,C
151,11.84,6.05,4.03,1,0,B
198,13,3.3,22,1.4,0,B
255,14,1.9,35,0,0,C
583,18,9.199999809,18,3.200000048,0,D
204,11.3,2.3,30,2.4,0,B
58000,4000,1200,2800,400,0,E
792,18.3,3.3,1.3,0,0,C
416.6666667,73.33333333,3.333333333,10,0,0,C
0,88.5,0,1.1,0,0,A
240,8,0,35,6,0,B
361,2.099999905,0.200000003,87,0,0,D
208,19,4.3,1.6,0,0,B
0,78.05,0,8.8,0.1,0.78,A
304,7.09,2.48,52.2,1.88,0,C
241,10.59000015,3.589999914,30.14999962,3.589999914,0.14,B
82,10,1.100000024,7,0,0.1225,A
245.3,10.96,1.3,25.48,0,0.335,C
0,2.700000048,0.800000012,48.70000076,10.4,1.46,C
643,27.70000076,7.900000095,7.400000095,6.699999809,0,C
177.7777778,4.444444444,0.222222222,28.88888889,1.111111111,0.3975,C
535.7142857,7.142857143,0,60.71428571,3.571428571,0.18,C
394,5.5,2.200000048,54,0,0.21,D
412,6.4,3.5,53,0,0,D
230,6,0,45,0,2.12,C
72,15.80000019,0.300000012,0,0,0,A
174.0000068,5.333333545,2.666666773,25.99999958,0,1.36,C
418,13,3,72,3.599999905,0,C
194,7.6,3.2,20,0,0,C
31.25,0.694444444,0,7.638888889,2.083333333,0,A
160,5,1,15,2,0,B
345,29,9.699999809,23,20,2,C
353,39,0.54,28,0,1.21158,C
446,8,10,51,1.7,1.62,D
32,1.4,0,4.8,2.2,0,A
72,2.9,0,10,0,0,B
0,0.5,0.5,0.100000001,0,0.99,B
62,1.5,1,4.5,0,0,B
66,1.6,0.7,4.5,0,0,B
56,1.4,1,4.2,0,0,B
190,7,0,7,4,0,A
51,1.7,0.4,4.8,1.6,1.100000024,A
75,1.5,0.8,4.3,1.7,0,A
56,1.5,1,4.2,2,0,A
64,2.5,1,4.1,2,0,A
106,4.2,2,3.4,0,0,B
0,78.05,0,8.8,0.1,0,A
62,1.4,1,4.2,2,0,A
31,1.6,0,4.8,1.6,0.71,A
273,15,9.3,1.1,0.5,0,C
129.1000061,13.72999954,1.049999952,0,5.190000057,0,A
49,1.299999952,0.100000001,8,0,0,B
66,1.5,0.7,4.6,0,0.09,B
300,0,3.333333333,3.333333333,0,0.55,C
448,11,5,60,9.6,0,C
255.1724138,4.482758456,1.0344828,37.93103448,9.655172249,0,C
148,5.199999809,1.100000024,9.300000191,7.900000095,0,A
283,9.8,0.2,56.7,0,0.6,C
0,8.1,10,50,2.5,0.4,D
250.1999969,8.5,0.699999988,48.5,0,0.8,C
394,6.7,2.1,48,0,0,D
441,7.9,9.2,45,0,0.7,E
586,8.5,9.800000191,3.400000095,0,0.2,D
264,6.400000095,11,21,5.800000191,0.7,C
379,1.6,0,93,0,0.7,D
72,0.3,0,82,0.2,0.4,C
459,6.3,11.9,55.6,2.96,1.21158,D
242.4242424,9.090909091,0,46.96969697,1.515151515,0.01,C
370,11,1.67,70,0,0,C
269,9,0.53,52.6,0,0,C
200,7,1.5,8,4,0,A
0,78.05,0,8.8,0.1,0,A
264,10,0.6,40.5,0,0.36,C
78,3,0,2,1,0,A
613,28.89999962,6.5,9.100000381,8.800000191,0,C
254,21,7,0.699999988,0,0,C
145,5.8,0.3,24.6,4.2,0,A
466,6,13.6,47,0,1.66,E
43,0.5,0,10,0,0.78,B
0,0,0,0,0,1.299999952,B
115,23,0,0.600000024,0,0.7,A
582,9,15.5,45.09999847,0,0,E
202,14,0,1,0,0,A
467,4.5,14,57,0,0,E
368,9.7,0.5,74,6,0,C
104,4.4,1.4,2.520000076,4.4,0,A
134,13,2.099999905,4.800000191,2,0.37,A
210,5,1.5,28,2,1.287878788,C
80,2,1,3,1,0,B
100,0.5,0,13,0.5,1.44,C
70,2,1,4,1,0,A
536,7.14,3.57,57.14,3.6,1.21158,C
454,8,13,46,3.4,1.2,D
315.7894737,21.05263158,10.52631579,5.263157895,0,0,C
279,4.4,0.5,48.2,5.8,0,C
255,8,0.899999976,41,4.900000095,0,B
232,6.6,1.7,40,1.2,0.7,C
500,10.71428571,10.71428571,60.71428571,3.571428571,0.657,D
371,12,1.6,60,0,0.03,C
141,24.2,1.7,0.7,0,0,A
248,11.7,7.5,19.8,0,0,C
394.7368421,5.263157895,1.315789474,86.84210526,2.631578947,0,C
100,4,0,12,0,0,B
221,7,0.9,36,0,0.3,C
223,7.2,0.9,36,3,0.6,B
358,4.3,15,30,0,0,D
170,6,0,6,3,0,A
0,0,0,0,0,0,B
167,7.3,1.6,7.2,0.7,0,A
25,0,1.875,0.416666667,0,0,B
400,0,0,100,0,0,D
379,1.6,0,93,0.2,0.9375,D
378,4.6,11,50,0,0.65,E
240,20,5,19,6,0,B
269,9.399999619,0.300000012,47.90000153,5.5,1.09,C
269,9.4,0.3,47.9,5.5,0,C
253,23,2.6,0.5,0,0,B
408,4.900000095,3.5,47,0,0.133928571,D
333.3333333,71.42857143,0,14.28571429,9.523809524,0.01,A
237,7.1,4.5,29,0,1.55,C
63,0.300000012,0,14,1.899999976,1.25,B
500,37.5,15,32.5,0,1.578947368,D
60,0,0,15,0,1.25,C
560,8,20,56,4,0.49,D
30,1,0,1,1,0.34,A
354,83,1.3,3.4,0,0.13,B
459,21,3.299999952,40,11,0,C
310,11,0.400000006,65,3,0,C
1240,11.3,0.098,61.3,0,0.54,D
504,10.5,2.2,50.7,3.6,0,C
265.060241,9.638554217,0,30.12048193,1.204819277,0,C
341,4.3,9.9,43,0,0,E
176,26.79999924,0.800000012,3.200000048,2.400000095,0.9,A
435,5.8,10,48,0,0.375,E
468,5.3,2.6,64.7,0,0,D
134,9.4,0.3,47.9,0,1.3,C
294,11,0.6,48,0,2.5,C
304,5.8,1.7,0,0,0,B
490,12,0,17,5,1.011904762,A
318.1818182,68.18181818,0,13.63636364,9.090909091,0,A
554,7.14,19.64,58.93,1.8,0,E
550,7.5,20,57.5,2.5,0.46875,E
555.5555556,11.11111111,22.22222222,55.55555556,0,0,E
571,9.52,21.43,57.14,0,0,E
524,4.76,19.05,57.14,0,0,E
525,5,20,57.5,5,0.3,D
575,7.5,25,50,0,0,E
535,6.98,20.93,58.14,2.3,0,E
535,6.98,20.93,58.14,2.3,0,E
535.7142857,7.142857143,21.42857143,60.71428571,0,3.2,E
500,0,14.29,57.14,7.1,0,E
553,10.53,23.68,44.74,10.5,0.89,D
550,7.5,20,57.5,2.5,0,E
525,5,20,57.5,5,0.84,D
556,8.33,19.44,58.33,2.8,2,D
556,8.33,19.44,58.33,2.8,1.3,D
553,7.89,21.05,57.89,2.6,1.5,E
526,5.26,21.05,57.89,5.3,0.7,D
526,5.26,21.05,57.89,5.3,0,D
525,5,20,67.5,0,1.136363636,E
556,8.33,19.44,58.33,2.8,0.2,D
528,5.56,19.44,58.33,5.6,0.1875,D
553,5.26,18.42,60.53,2.6,0.277777778,E
553,7.89,21.05,55.26,2.6,0.1775,E
543,5.71,20,57.14,2.9,0.1775,E
553,7.89,21.05,57.89,2.6,0.03,E
116.0714286,21.42857143,0.446428571,0,0,0.25,A
0,0,0,0,0,0.2025,B
120,25,0,0,0,0.2025,A
18,0,0,3.57,3.6,0.223214286,A
0,0,0,0,0,0,B
362.3188406,50.72463768,2.173913043,31.88405797,2.898550725,0,C
166.6666667,3.333333333,1.666666667,6.666666667,0,0.1875,B
324.3243243,8.108108108,0,67.56756757,2.702702703,0.03,C
441,7.900000095,9.199999809,45,0,0.2075,E
0,0,0,0,0,0.2075,B
284,10.1,0.38,54.4,0,0.1975,C
237,1,0.5,43,0,0.0325,D
628,18,2.799999952,19.89999962,0,0.0325,C
44.44444444,0,0,22.22222222,0,0.3125,C
62,0,0,16,0,0.2075,C
206.6666667,0,0,60,0,0.035,D
2.1,0,0,1,0,0.2625,B
49,0,0,22.22,0,0.2625,C
178,0,0,44.44,0,0.1775,D
0,0,0,0,0,0.1975,B
534,8.6,11,8.5,0,0.167410714,D
105.2631579,0,2.631578947,18.42105263,0,0,C
400,10,10,60,0,0.0875,E
283,7.9,3.5,29,0,3.035,C
464,5.7,3.3,52.8,0,0,D
0,39,0,32,6,1.304347826,A
402,59.1,0.95,5.22,0,0,B
110,1,0,6,1,0,B
250,17.85714286,10.71428571,3.571428571,0,0,C
350,18,0,35,3,0.72,B
76,3.599999905,0,8.300000191,12,0,A
47,3.12,0,10.16,5.5,1.3,A
24,2.35,0,3.53,2.4,8,A
18,1.22,0,3.66,2.4,0,A
18,1.18,0,3.53,2.4,0,A
14.3,1.13,0.01,1.03,1.8,0,A
11,1.12,0,2.25,1.1,0,A
18,1.18,0,3.53,2.4,0,A
18,1.18,0,2.35,1.2,0,A
18,1.18,0,2.35,1.2,0,A
18,1.18,0,3.53,2.4,0,A
34,2.7,0,5.41,2,0.16,A
50,3.33,0,10.83,5,2.631578947,A
139.2405063,2.53164557,5.063291139,21.51898734,5.063291139,8.25,C
24,2.35,0,3.53,2.4,1.3,A
24,2.35,0,3.53,2.4,0.84,A
48,2.38,0,7.14,3.6,0,A
47.62,2.38,0,7.14,3.6,0.13,A
48,2.38,0,7.14,3.6,0,A
48,2.38,0,7.14,3.6,0,A
48,2.38,0,7.14,3.6,0,A
14,0,0,3.64,1.8,0,A
14,0,0,3.64,1.8,0.235,A
14,0,0,3.64,1.8,0.19,A
34,2.7,0,5.41,2,0.015,A
50,3.33,0,10.83,5,0.015,A
53,4.71,0,7.06,2.4,0.0575,A
0,0,0,0,0,0.0275,B
44,6,0.4,1.6,0,0.015,A
298,8.3,1,52,0,0.1025,C
44,6,0.4,1.6,0.8,0.1025,A
70,4,0,3,0,0.015,A
417,77.2,5,7.8,0.4,0.135,C
200,18.82352941,3.529411765,1.176470588,0,0.24,B
371,11,4.1,57,8.9,0,C
464,10,4.5,57,8.2,0.19,C
102,6.800000191,0.200000003,16,0.5,0.19,B
210,5,0,28,2,0.075,C
566.6666667,33.33333333,5,6.666666667,3.333333333,0.0756,C
130,11,0,18,0,0.075,B
444,9.2,4.5,36.1,15.9,0.075,C
378,63.5,1.1,9.1,0,0.075,B
285,9.8,0.2,57.5,0,0.2625,C
500,0,8.333333333,3.333333333,0,0.2625,D
503,30,17,30,0,0.2625,D
84,2,0,18,0,0.135,C
50.50505051,0,0,12.12121212,0.505050505,0.24,B
436,20,3,2,0,0.20828,C
386,3.7,0.3,45.9,8.1,0,C
379,1.600000024,0,93.09999847,0,0.2,D
362,32.5,3.12,36.8,0,1.8,C
148.8549618,4.961832061,0.763358779,15.26717557,3.053435115,0.26,A
190,16,5,3,0,0,B
250,4,9,33,2,0.4,D
1382,13.1,1.5,59.7,0,1.382352941,D
390,5.8,4.8,46.2,0,0.01,D
180,8,0,29,10,0,A
100,8,5,0,0,0,B
170,6,3,6,1,0,B
130,5,1,23,1,0,C
380,17,8,15,1,0,C
257,10.5,0.4,46.4,8.2,0,C
257,10.5,0.4,46.4,8.2,0.002816187,C
53.09734513,12.38938053,0,0,0,1.5,A
361,11,1.600000024,61.09999847,0,0,C
163.3986928,6.209150327,1.14379085,17.97385621,1.307189542,0.51,B
612,25,8.7,13,1,0,D
40,0,0,0,0,0,B
353,27.79999924,6.829999924,19.52000046,0,0,C
180,13,0.5,19,1,1,B
250,7.4,0.2,51,0,0,C
77,10,0.8,3.5,0,1.06,A
375,62.40000153,0.699999988,20.79999924,0,0,C
358,28.7,1.3,46.8,0,0,C
68.0851,4.2553,0.0426,11.4894,0,0,B
21.2766,2.1277,0,3.4043,0,10.6,A
140,3,0.5,21,0,0.42,C
300,5,0.5,55,0,0,C
100,0.666666667,0,20,0,0,C
355,8.2,0.2,76,2.2,0,C
200,5,7,20,0,0,C
239.4366197,9.85915493,0,43.66197183,4.225352113,0,B
300,7.5,2.5,52.5,0,1.3,D
639,4.2,40,35,0,1.3,E
333,1.55,0,81.2,0,0,D
483.8709677,19.35483871,3.225806452,54.83870968,0,0,D
610,20,4.5,2,4,0,B
666.6666667,23.33333333,5,16.66666667,10,1.1,C
483.8709677,16.12903226,3.225806452,54.83870968,3.225806452,0,C
484,16.1,3.23,54.8,3.23,0.100000001,C
367,67.2,3,6.5,0,1.225,C
219,3.1,5.6,32,0,1.1,D
28,1.6,0,4.3,1.5,1.1,A
521,5.800000191,9,60.59999847,0,1.5,E
528,5.56,22.22,61.11,2.8,0.3,E
541,2.7,21.62,59.46,2.7,0.40425525,E
0,42.45614169,1.403508793,24.73684277,13.38596511,0.27659575,A
253,29,0.62,3.4,0,0.3,A
60,9,0,2,0,0.625,A
35,0,0,5,0,1.416666667,B
361,11,1.6,61.1,0,0,C
400,85,0,0,0,0,B
421.0526316,7.01754386,12.28070175,52.63157895,1.754385965,0,E
421.0526316,7.01754386,12.28070175,52.63157895,0,1.0625,E
438.5964912,7.01754386,21.05263158,56.14035088,1.754385965,0,E
35,0,1,5,0,0.0075,B
259,13,0.45,20.7,52.5,0.322580645,A
84.74576271,1.694915254,0.423728814,15.25423729,0.847457627,0,B
0,0,0,0,0,0,B
0,0,0,0.281690141,0,1.935483871,B
235,24,7.5,1,0,1.94,C
417,76.3,5,8.7,0,0.67,C
411,17,0,71,0,0.19,C
232,11,0.3,35.7,9.4,0,A
508,5,17.5,60,0,0,E
254,10.7,1.69,19.6,1.5,0.2425,B
619,30.78,4.89,4.68,0,0.2025,C
256,11.1,0.3,47.7,0,0,C
575,11.1,4.2,41.7,0,0.125,D
38,0,0,0,0,0,B
359,5.5,0,79.69999695,0,0,D
578,25.4,4.3,5.7,0,0.08,C
260,5,4,45,3,0,C
430,0,0,0,0,2.061403509,C
196,4.08,1.2,23.2,0,2.061403509,C
347,48.3,1,8.1,0,2.061403509,B
180,8,0.5,29,5,0,A
265.9574468,9.574468085,3.723404255,32.9787234,1.063829787,0.02,C
305,22.5,23,1,1,1.355932203,C
417,75,5,10,0,0,C
0,21,0,0.5,0,0,A
215,11,4.5,18,0,2,C
484.8484848,9.090909091,24.24242424,42.42424242,0,0.37,E
31,0,0,7.38,0,0,B
46,0,0,11.67,0,0.65,B
54,0,0,13.33,0,0.41148,B
46,0,0,11.25,0.4,0.8,B
46,0.42,0,11.67,0,0.34,B
190,8.4,1.9,19,0,1.3,B
46,0,0,11.67,0,0,B
46,0.42,0,11.67,0,0,B
45.83333333,0.416666667,0,11.66666667,0,0,B
45.83333333,0.416666667,0,11.66666667,0,0.00095,B
58,0,0,14.58,0,0,C
0,1,0,28,0,0,C
54,0,0,13.75,0,0,C
45.83333333,0.416666667,0,11.66666667,0,0.0018,B
46,0.42,0,11.67,0,0,B
417,75,5,10,0,0,C
359,75,1.6,5.8,0,0.8,B
0,0,0,0,0,0.351,B
237,7.6,3.6,31,0,1.7,C
299,5.6,1.6,44,0,0,C
229,13,3.2,16,0,0,C
229,13,3.2,16,0,0.0075,C
249,13,2.1,19,0,0.0375,C
255,13,2.2,21,0,0.01,C
235,13,2.8,18,0,0.025,C
323,53.8,0.5,11.9,20.1,0.015,A
321,0,0,78.57,7.1,0.58,C
321,0,0,78.57,7.1,0.0425,C
300,2.5,0,72.5,0,0.01524,D
300,2.5,0,72.5,0,0,D
300,2.5,0,72.5,0,0.015625,D
300,2.5,0,72.5,0,0,D
250,5,0,65,0,0,C
250,5,0,65,0,0,C
250,5,0,65,0,0,C
250,5,0,65,0,0.015,C
275,5,0,67.5,0,0.35,C
275,5,0,67.5,0,0.73,C
275,5,0,67.5,0,0,C
275,5,0,67.5,0,1.1,C
275,5,0,67.5,0,0.64,C
275,5,0,67.5,0,1.1,C
250,5,0,70,0,1.1,C
120,1,5,14,3,1.1,C
400,4,20,60,12,1.2,D
464.2857143,7.142857143,17.85714286,53.57142857,10.71428571,1.3,D
480,4,20,56,0,0,E
400,4,20,60,0,0.09,E
440,8,18,52,0,0.09,E
309,4.41,0,74.96,0,0.125,D
325,5,0,75,0,0.125,D
140,0,0,34,0,0.125,C
350,2.5,0,87.5,0,0.1875,D
300,7.5,0,70,0,0.0625,C
400,0,0,100,0,0.0625,D
300,7.5,0,70,0,0.0625,C
350,0,0,87.5,0,0.0625,D
375,2.5,0,87.5,0,0.03,D
275,2.5,0,70,0,0.03,D
275,2.5,0,70,0,0.03,D
275,2.5,0,70,0,0.03,D
300,7.5,0,70,0,0.03,C
350,0,0,85,0,0.03,D
450,2.5,17.5,77.5,5,0.125,E
450,2.5,17.5,77.5,5,0,E
450,2.5,17.5,77.5,5,0,E
350,0,0,85,0,0,D
286,7.14,0,71.43,0,0.25,C
286,7.14,0,71.43,0,0,C
357,3.57,0,92.86,10.7,0,C
321,3.57,0,85.71,14.3,0.22,C
357,3.57,0,89.29,10.7,0.127,C
353,0,0,94.12,2.9,0.0762,C
350,0,0,90,10,0.28,C
350,0,0,90,10,0.125,C
350,0,0,90,10,0.025,C
375,0,0,91.67,0,0.125,D
325,0,0,82.5,5,0.095,C
325,0,0,82.5,5,0.28,C
